iter	Logloss
0	0.5589347996
1	0.4657722878
2	0.3970977281
3	0.3465836038
4	0.3066778658
5	0.2756472192
6	0.2515200637
7	0.231684653
8	0.2163070875
9	0.204143781
10	0.1937208244
11	0.1864172904
12	0.179795165
13	0.1748955864
14	0.1708358736
15	0.1669454884
16	0.1640697621
17	0.1611785562
18	0.1588560947
19	0.1570244034
20	0.1556985265
21	0.1549827606
22	0.1536083782
23	0.1524642432
24	0.1517365968
25	0.1510669147
26	0.1502758845
27	0.1499777904
28	0.1496458155
29	0.1490685125
30	0.1486738074
31	0.1481395612
32	0.1477621063
33	0.1476032336
34	0.1472160207
35	0.1468233136
36	0.1465977978
37	0.146157029
38	0.1458355855
39	0.1456603053
40	0.1454933227
41	0.1452783277
42	0.1450829063
43	0.1450680972
44	0.1448788642
45	0.1447442506
46	0.1444471683
47	0.1442245635
48	0.1440012389
49	0.1438084184
50	0.1436033009
51	0.1434510283
52	0.1433510875
53	0.1431874688
54	0.1429103357
55	0.1427327664
56	0.142379887
57	0.1422337874
58	0.1420754354
59	0.1419660317
60	0.1417703055
61	0.141629512
62	0.1415227809
63	0.141352569
64	0.1411503477
65	0.1409237885
66	0.1408065874
67	0.1406413902
68	0.1404904144
69	0.1403840329
70	0.1402071227
71	0.1400488412
72	0.139888853
73	0.1397336792
74	0.1395949062
75	0.1394315343
76	0.1393441665
77	0.1391723557
78	0.1389334709
79	0.1387847942
80	0.1387004957
81	0.1384898602
82	0.138346471
83	0.1382196571
84	0.1380919859
85	0.1379138485
86	0.1376927148
87	0.1374707205
88	0.1373169641
89	0.1371695071
90	0.1370689363
91	0.1369543568
92	0.1368447974
93	0.136768544
94	0.1366776949
95	0.1365761478
96	0.13644275
97	0.1363581602
98	0.1361546106
99	0.1359261805
100	0.1358552321
101	0.1356449775
102	0.1355830998
103	0.1354197795
104	0.1352833608
105	0.1351700543
106	0.1349808578
107	0.1348932231
108	0.1347460853
109	0.1345486993
110	0.1344538407
111	0.1343445019
112	0.1342463375
113	0.1341173181
114	0.1339787984
115	0.1338826755
116	0.1337920549
117	0.1337294955
118	0.1335987544
119	0.133506345
120	0.133366123
121	0.1332893453
122	0.133241098
123	0.1329820022
124	0.1328721142
125	0.1328158296
126	0.1327217279
127	0.1326781892
128	0.1325567783
129	0.1325067068
130	0.1324707583
131	0.1323569246
132	0.1322402023
133	0.1320562578
134	0.1319935085
135	0.1318546253
136	0.1317403662
137	0.1316988889
138	0.1315754477
