iter	Passed	Remaining
0	2	362
1	4	338
2	7	343
3	8	305
4	10	309
5	12	311
6	14	304
7	17	305
8	19	306
9	22	316
10	25	320
11	28	323
12	30	324
13	33	322
14	35	319
15	37	317
16	40	314
17	42	312
18	44	309
19	47	307
20	49	304
21	51	302
22	54	300
23	56	297
24	58	291
25	60	289
26	63	287
27	65	284
28	67	283
29	70	281
30	72	279
31	75	276
32	77	274
33	79	271
34	82	269
35	84	267
36	86	265
37	89	263
38	92	262
39	94	259
40	96	257
41	99	255
42	101	252
43	103	248
44	105	246
45	107	243
46	110	241
47	112	239
48	115	237
49	117	235
50	119	232
51	122	230
52	124	227
53	126	225
54	129	223
55	131	221
56	134	218
57	137	217
58	139	215
59	141	212
60	144	210
61	146	207
62	148	205
63	151	203
64	153	200
65	155	198
66	158	196
67	160	193
68	162	191
69	165	188
70	167	186
71	170	184
72	172	182
73	175	179
74	177	177
75	179	174
76	182	172
77	184	170
78	186	167
79	189	165
80	192	163
81	194	161
82	197	159
83	199	157
84	202	154
85	204	152
86	207	150
87	210	148
88	212	145
89	215	143
90	217	141
91	220	138
92	222	136
93	225	134
94	227	131
95	230	129
96	232	127
97	235	124
98	237	122
99	240	120
100	242	117
101	245	115
102	247	113
103	250	110
104	252	108
105	255	106
106	257	103
107	260	101
108	262	98
109	265	96
110	268	94
111	270	91
112	273	89
113	275	86
114	278	84
115	280	82
116	283	79
117	285	77
118	287	75
119	290	72
120	293	70
121	295	67
122	298	65
123	300	63
124	303	60
125	305	58
126	308	55
127	310	53
128	313	51
129	316	48
130	318	46
131	321	43
132	324	41
133	327	39
134	330	36
135	332	34
136	335	31
137	338	29
138	340	26
